name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Hallam,10852,205409931,Q5642748,"en:Hallam, Victoria",,8207948.063,820.7948063,14501.93924
Glen Iris,25268,205409942,Q3108678,"en:Glen Iris, Victoria",,8221359.335,822.1359335,16419.16816
Wantirna,13768,205409933,Q7968177,"en:Wantirna, Victoria",,8298577.453,829.8577453,14529.66545
Clayton South,12642,205409928,Q5130327,"en:Clayton South, Victoria",,8303779.726,830.3779726,12751.75281
Caroline Springs,24205,205409955,Q1044568,"en:Caroline Springs, Victoria",,8333420.822,833.3420822,16973.93006
Brighton,23253,205409918,Q915776,"en:Brighton, Victoria",,8389582.898,838.9582898,14562.43819
Braeside,21,205409938,Q4955340,"en:Braeside, Victoria",,8538906.946,853.8906946,12333.51941
Noble Park,30998,205409917,Q7045757,"en:Noble Park, Victoria",,8565002.442,856.5002442,15915.94441
Cobblebank,,425646095,Q28942239,en:Cobblebank,,8689890.74,868.989074,12667.59091
North Warrandyte,2956,205409893,Q7057191,"en:North Warrandyte, Victoria",,8763880.458,876.3880458,22285.32516
Doncaster,,205409907,Q429307,,suburb,8767359.978,876.7359978,15279.16766
Langwarrin South,1248,205409910,Q6486971,"en:Langwarrin South, Victoria",,8785987.287,878.5987287,13207.11958
Arthurs Seat,394,205409911,Q14935059,"en:Arthurs Seat, Victoria",,8806417.431,880.6417431,14049.68249
Scoresby,6022,205409885,Q7435336,"en:Scoresby, Victoria",,8818566.436,881.8566436,17991.43316
Yuroke,142,205409894,Q8061752,"en:Yuroke, Victoria",,8874402.206,887.4402206,15940.17605
Glenroy,22245,205409903,Q3108837,"en:Glenroy, Victoria",,8877163.601,887.7163601,16873.90082
Bentleigh East,27635,205409899,Q4890443,"en:Bentleigh East, Victoria",,9060090.83,906.009083,12116.37839
Balwyn North,20406,205409895,Q805854,en:Balwyn North,,9157135.426,915.7135426,13524.5406
Melton West,17589,205409311,Q6813803,"en:Melton West, Victoria",,9267530.941,926.7530941,16915.02371
Wandin East,431,205409593,Q7967258,"en:Wandin East, Victoria",,9294099.287,929.4099287,13296.41251
Lyndhurst,6725,205409598,Q6708651,"en:Lyndhurst, Victoria",,9332889.382,933.2889382,16832.93192
Park Orchards,3822,205409878,Q7137916,"en:Park Orchards, Victoria",,9388702.658,938.8702658,15354.03156
Lalor,22594,205409883,Q6480572,"en:Lalor, Victoria",,9392267.553,939.2267553,17663.14157
Narre Warren East,419,205409879,Q6966237,"en:Narre Warren East, Victoria",,9405777.519,940.5777519,19480.79235
Dandenong North,22451,205409868,Q5215700,"en:Dandenong North, Victoria",,9528353.535,952.8353535,14239.60173
Research,2649,205409901,Q7315046,"en:Research, Victoria",,9615041.179,961.5041179,19172.00771
Sunshine West,18580,205409873,Q7641592,"en:Sunshine West, Victoria",,9647269.883,964.7269883,16210.69353
